series,experiment,treatment,time,pop,Qc,abundance
A1,A,Control,0,bacteria,11.641986251028243,231.28119800332854
A1,A,Control,0,bacteria2,23.713259412424666,497.5041597337787
A1,A,Control,6,bacteria,12.26418261053992,192.17687074829865
A1,A,Control,6,bacteria2,22.929015288566557,680.2721088435351
A1,A,Control,12,bacteria,12.229269982946,333.33333333333434
A1,A,Control,12,bacteria2,21.86674364583495,798.4848484848509
A1,A,Control,18,bacteria,11.685856540177307,450.56726094003164
A1,A,Control,18,bacteria2,22.32314439583163,763.3711507293342
A1,A,Control,24,bacteria,10.94660807482195,443.88609715242654
A1,A,Control,24,bacteria2,22.4214708567137,889.4472361809001
A1,A,Control,30,bacteria,11.257643472195172,545.8786936236409
A1,A,Control,30,bacteria2,22.294853837611047,993.7791601866284
A1,A,Control,36,bacteria,11.978971687668988,701.3574660633484
A1,A,Control,36,bacteria2,22.292915350264515,1259.4268476621419
A1,A,Control,42,bacteria,12.01041365849092,967.5324675324691
A1,A,Control,42,bacteria2,22.259545524348134,1498.3766233766257
A1,A,Control,48,bacteria,11.822538842189235,1102.1711366538952
A1,A,Control,48,bacteria2,21.421376148321215,1725.4150702426566
A2,A,LG-HV,0,bacteria,12.16615691432526,225.91362126245846
A2,A,LG-HV,0,bacteria2,23.293107916365088,433.5548172757475
A2,A,LG-HV,6,bacteria,13.434216953642325,145.24207011686192
A2,A,LG-HV,6,bacteria2,24.98902101046365,580.9682804674477
A2,A,LG-HV,12,bacteria,13.322755536915011,224
A2,A,LG-HV,12,bacteria2,24.863894559778153,873.6
A2,A,LG-HV,18,bacteria,14.322168041919841,271.10389610389655
A2,A,LG-HV,18,bacteria2,23.265927328122768,1019.4805194805211
A2,A,LG-HV,24,bacteria,15.033336221661644,77.53164556962012
A2,A,LG-HV,24,bacteria2,24.18471910864053,550.6329113924041
A2,A,LG-HV,30,bacteria,14.356558443596509,6.410256410256431
A2,A,LG-HV,30,bacteria2,25.01234742585595,41.6666666666668
A2,A,LG-HV,36,bacteria,14.118258115660552,3.2258064516129137
A2,A,LG-HV,36,bacteria2,23.189678213193183,35.48387096774205
A2,A,LG-HV,42,bacteria,15.110841056461608,14.446227929373997
A2,A,LG-HV,42,bacteria2,26.420776084080913,25.682182985553773
A2,A,LG-HV,48,bacteria,15.19865672480635,32.41491085899535
A2,A,LG-HV,48,bacteria2,22.36111099830966,123.17666126418233
A3,A,LV,0,bacteria,11.693487909068173,213.7096774193554
A3,A,LV,0,bacteria2,23.502844361859577,452.956989247313
A3,A,LV,6,bacteria,12.343755628804715,152.17391304347768
A3,A,LV,6,bacteria2,24.766777334521773,662.4040920716087
A3,A,LV,12,bacteria,12.196930140940248,315.0326797385613
A3,A,LV,12,bacteria2,22.174839141653322,873.2026143790827
A3,A,LV,18,bacteria,11.676452737016382,531.25
A3,A,LV,18,bacteria2,22.16600171721731,899.671052631579
A3,A,LV,24,bacteria,11.324015574669026,606.4
A3,A,LV,24,bacteria2,22.344032962400853,1046.4
A3,A,LV,30,bacteria,11.365805033940259,660.7407407407417
A3,A,LV,30,bacteria2,22.57824041017387,1260.7407407407427
A3,A,LV,36,bacteria,13.742301318671098,588.5245901639354
A3,A,LV,36,bacteria2,23.223306293070845,1677.0491803278717
A3,A,LV,42,bacteria,13.362791848302491,1004.926108374381
A3,A,LV,42,bacteria2,21.996012398889278,2722.495894909679
A3,A,LV,48,bacteria,14.55488823596619,526.4026402640264
A3,A,LV,48,bacteria2,22.98679198493877,4932.343234323433
A4,A,LG-HV,0,bacteria,12.008983898280896,268.7898089171988
A4,A,LG-HV,0,bacteria2,22.912636201893267,425.4777070063716
A4,A,LG-HV,6,bacteria,13.542732711615416,152.6627218934915
A4,A,LG-HV,6,bacteria2,24.35655034642624,500.5917159763325
A4,A,LG-HV,12,bacteria,12.976199132118406,185.58077436582107
A4,A,LG-HV,12,bacteria2,24.778047734875923,656.8758344459278
A4,A,LG-HV,18,bacteria,14.025767933345808,308.06257521058967
A4,A,LG-HV,18,bacteria2,25.214066596785724,1116.7268351383875
A4,A,LG-HV,24,bacteria,14.703193625343777,181.3898704358064
A4,A,LG-HV,24,bacteria2,24.50925268441183,1034.1578327444026
A4,A,LG-HV,30,bacteria,13.789931083547797,18.641810918774993
A4,A,LG-HV,30,bacteria2,26.972238594964807,74.56724367509997
A4,A,LG-HV,36,bacteria,13.073246423011161,7.853403141361256
A4,A,LG-HV,36,bacteria2,26.379774963118372,41.8848167539267
A4,A,LG-HV,42,bacteria,13.966979031082651,10.243277848911639
A4,A,LG-HV,42,bacteria2,24.9601548780801,53.777208706786105
A4,A,LG-HV,48,bacteria,14.563829700309212,58.432934926958524
A4,A,LG-HV,48,bacteria2,20.942771164122977,116.86586985391705
A5,A,HG-vHV,0,bacteria,11.713314212787159,330.698287220025
A5,A,HG-vHV,0,bacteria2,22.15351682468985,392.62187088273885
A5,A,HG-vHV,6,bacteria,13.880750276097684,39.23766816143502
A5,A,HG-vHV,6,bacteria2,24.10652822776113,145.7399103139015
A5,A,HG-vHV,12,bacteria,11.565717984591945,22.63648468708392
A5,A,HG-vHV,12,bacteria2,23.80272675707093,30.625832223701774
A5,A,HG-vHV,18,bacteria,14.073502305729216,21.766965428937233
A5,A,HG-vHV,18,bacteria2,23.910432945855927,51.216389244558194
A5,A,HG-vHV,24,bacteria,14.572413353384663,21.170610211706155
A5,A,HG-vHV,24,bacteria2,21.826797391159776,75.9651307596515
A5,A,HG-vHV,30,bacteria,13.701493589436216,23.936170212765894
A5,A,HG-vHV,30,bacteria2,20.904637539668368,39.89361702127649
A5,A,HG-vHV,36,bacteria,14.646239276708972,59.76095617529889
A5,A,HG-vHV,36,bacteria2,21.470580219381425,71.71314741035866
A5,A,HG-vHV,42,bacteria,14.005160413673478,78.22685788787504
A5,A,HG-vHV,42,bacteria2,20.47309967016614,67.7966101694917
A5,A,HG-vHV,48,bacteria,13.086493207920517,136.9680851063826
A5,A,HG-vHV,48,bacteria2,20.64450660810249,101.06382978723377
A6,A,HV,0,bacteria,11.699931171202785,331.58584534731193
A6,A,HV,0,bacteria2,21.575801937182302,359.10878112712834
A6,A,HV,6,bacteria,12.619402069717562,270.83333333333366
A6,A,HV,6,bacteria2,23.75662296896284,600.4901960784322
A6,A,HV,12,bacteria,13.299574320901014,310.93544137022434
A6,A,HV,12,bacteria2,22.520560974734916,923.5836627140986
A6,A,HV,18,bacteria,12.960029957972935,512.7892813641894
A6,A,HV,18,bacteria2,22.057557714942817,1048.7210718635797
A6,A,HV,24,bacteria,13.632385237469087,406.5934065934061
A6,A,HV,24,bacteria2,24.232323674680543,1721.6117216117193
A6,A,HV,30,bacteria,14.669650945754015,419.6319018404903
A6,A,HV,30,bacteria2,24.03142013237293,2835.582822085886
A6,A,HV,36,bacteria,14.523462431740896,1009.4562647754137
A6,A,HV,36,bacteria2,22.78666602406434,4872.340425531916
A6,A,HV,42,bacteria,13.930044608539676,3436.5079365079505
A6,A,HV,42,bacteria2,20.727752358671502,5099.20634920637
A6,A,HV,48,bacteria,13.287157002786937,4844.736842105257
A6,A,HV,48,bacteria2,20.246250579563366,3811.842105263153
A7,A,HG-vHV,0,bacteria,12.16232997819364,248.3829236739984
A7,A,HG-vHV,0,bacteria2,23.222994801780576,338.9391979301436
A7,A,HG-vHV,6,bacteria,13.978379480234091,46.29629629629624
A7,A,HG-vHV,6,bacteria2,25.27851630270729,125.6613756613755
A7,A,HG-vHV,12,bacteria,13.924795829674796,12.895662368112514
A7,A,HG-vHV,12,bacteria2,21.51482897750539,21.101992966002296
A7,A,HG-vHV,18,bacteria,13.425079888231565,9.864364981504291
A7,A,HG-vHV,18,bacteria2,22.01122338769286,18.495684340320548
A7,A,HG-vHV,24,bacteria,14.14398945771301,14.68926553672313
A7,A,HG-vHV,24,bacteria2,24.46661880700315,32.76836158192083
A7,A,HG-vHV,30,bacteria,14.310322861181907,30.183727034120892
A7,A,HG-vHV,30,bacteria2,23.977960633564777,26.246719160105123
A7,A,HG-vHV,36,bacteria,13.820653716320944,42.10526315789468
A7,A,HG-vHV,36,bacteria2,20.909725438427927,52.631578947368354
A7,A,HG-vHV,42,bacteria,14.439113435298621,43.42105263157889
A7,A,HG-vHV,42,bacteria2,23.960471912132594,26.315789473684177
A7,A,HG-vHV,48,bacteria,12.961697393247078,91.98423127463889
A7,A,HG-vHV,48,bacteria2,21.111264157534297,55.19053876478333
B1,B,Control,0,bacteria,12.01040804163882,346.6872110939897
B1,B,Control,0,bacteria2,23.118920919232963,571.6486902927563
B1,B,Control,6,bacteria,12.86808713771771,220.0956937799043
B1,B,Control,6,bacteria2,23.75810563968374,660.2870813397129
B1,B,Control,12,bacteria,12.178977866402466,309.56239870340306
B1,B,Control,12,bacteria2,22.53006380590853,1009.7244732576969
B1,B,Control,18,bacteria,11.70649126701596,639.8713826366528
B1,B,Control,18,bacteria2,22.70563871945743,1315.1125401929196
B1,B,Control,24,bacteria,11.316150190949775,878.315132605307
B1,B,Control,24,bacteria2,23.009582218135343,1472.698907956323
B1,B,Control,30,bacteria,11.748459795403434,952.845528455283
B1,B,Control,30,bacteria2,22.687879050025334,1554.4715447154447
B1,B,Control,36,bacteria,12.273027979441467,1010.9890109890125
B1,B,Control,36,bacteria2,23.4646984220548,2464.678178963897
B1,B,Control,42,bacteria,12.096116827525503,1355.877616747182
B1,B,Control,42,bacteria2,23.617256596383463,2753.623188405797
B1,B,Control,48,bacteria,12.156777159397159,1861.4649681528751
B1,B,Control,48,bacteria2,21.937324104533406,2863.057324840778
B2,B,LG-HV,0,bacteria,12.057719177080838,360.3988603988614
B2,B,LG-HV,0,bacteria2,23.983724083543215,524.2165242165257
B2,B,LG-HV,6,bacteria,13.465954336034232,251.10782865583494
B2,B,LG-HV,6,bacteria2,24.091648634835675,651.4032496307248
B2,B,LG-HV,12,bacteria,14.177199005546917,289.05109489051176
B2,B,LG-HV,12,bacteria2,24.984913845088563,1245.2554744525585
B2,B,LG-HV,18,bacteria,14.47115169717103,385.1132686084149
B2,B,LG-HV,18,bacteria2,23.29624895058463,1537.216828478967
B2,B,LG-HV,24,bacteria,13.733293275601179,180.90452261306513
B2,B,LG-HV,24,bacteria2,24.447101113084802,1561.5577889447218
B2,B,LG-HV,30,bacteria,14.68408540388861,31.578947368421012
B2,B,LG-HV,30,bacteria2,24.850312014732957,323.6842105263154
B2,B,LG-HV,36,bacteria,13.909710802997077,15.91187270501834
B2,B,LG-HV,36,bacteria2,21.21113363448343,47.73561811505502
B2,B,LG-HV,42,bacteria,14.03944644184882,28.60411899313498
B2,B,LG-HV,42,bacteria2,24.94124998594948,43.47826086956516
B2,B,LG-HV,48,bacteria,13.30904754304372,41.301627033792286
B2,B,LG-HV,48,bacteria2,22.695888192229564,127.65957446808525
B3,B,LV,0,bacteria,11.619652405730507,218.8365650969529
B3,B,LV,0,bacteria2,22.975572034263045,368.42105263157896
B3,B,LV,6,bacteria,12.539430742925108,221.27659574468086
B3,B,LV,6,bacteria2,23.441715509266317,510.63829787234044
B3,B,LV,12,bacteria,12.453978595875151,258.24175824175825
B3,B,LV,12,bacteria2,24.572632097760582,1265.10989010989
B3,B,LV,18,bacteria,12.363835087414277,804.3478260869576
B3,B,LV,18,bacteria2,23.685135827533173,1698.5507246376835
B3,B,LV,24,bacteria,11.864608795183047,853.9007092198582
B3,B,LV,24,bacteria2,23.904631069373497,1493.6170212765958
B3,B,LV,30,bacteria,12.141695690352101,861.5384615384627
B3,B,LV,30,bacteria2,23.742654645404045,1577.6223776223799
B3,B,LV,36,bacteria,13.910785175170155,608.7533156498698
B3,B,LV,36,bacteria2,24.449161973468772,3409.814323607441
B3,B,LV,42,bacteria,13.650248619782,746.1447212336866
B3,B,LV,42,bacteria2,23.458557404319667,5157.769869513623
B3,B,LV,48,bacteria,13.165006249549794,1652.1197007481276
B3,B,LV,48,bacteria2,22.325129821502287,8997.506234413953
B4,B,LG-HV,0,bacteria,12.03741501414855,215.38461538461448
B4,B,LG-HV,0,bacteria2,22.62438247690958,295.1048951048939
B4,B,LG-HV,6,bacteria,13.741826889083523,191.5492957746487
B4,B,LG-HV,6,bacteria2,23.963659426005318,639.4366197183125
B4,B,LG-HV,12,bacteria,14.000743745517296,189.3408134642359
B4,B,LG-HV,12,bacteria2,24.915258809160566,1002.8050490883605
B4,B,LG-HV,18,bacteria,13.962233987128624,413.2450331125833
B4,B,LG-HV,18,bacteria2,22.424382758024322,1254.304635761591
B4,B,LG-HV,24,bacteria,13.361832411918739,236.51452282157743
B4,B,LG-HV,24,bacteria2,22.815926047336056,1858.9211618257314
B4,B,LG-HV,30,bacteria,13.15997284563798,304.58221024258637
B4,B,LG-HV,30,bacteria2,25.395196032669226,2584.905660377348
B4,B,LG-HV,36,bacteria,12.839723486492888,1049.9342969776567
B4,B,LG-HV,36,bacteria2,23.37177605012002,2894.8751642575444
B4,B,LG-HV,42,bacteria,12.619963301728422,709.5046854082998
B4,B,LG-HV,42,bacteria2,20.70710203913797,717.536813922356
B4,B,LG-HV,48,bacteria,13.690019045260469,90.41095890410959
B4,B,LG-HV,48,bacteria2,20.210596247777783,61.64383561643836
B5,B,HG-vHV,0,bacteria,12.384760224087493,287.69841269841385
B5,B,HG-vHV,0,bacteria2,23.491662130160385,380.95238095238244
B5,B,HG-vHV,6,bacteria,14.718779371777517,14.678899082568808
B5,B,HG-vHV,6,bacteria2,24.166480260469925,133.94495412844037
B5,B,HG-vHV,12,bacteria,15.915649449958794,3.669724770642202
B5,B,HG-vHV,12,bacteria2,23.92312500120101,56.88073394495413
B5,B,HG-vHV,18,bacteria,14.229484973491987,6.700167504187616
B5,B,HG-vHV,18,bacteria2,24.793626279020145,40.201005025125696
B5,B,HG-vHV,24,bacteria,13.046935651191717,15.65217391304356
B5,B,HG-vHV,24,bacteria2,23.3627411630006,60.86956521739162
B5,B,HG-vHV,30,bacteria,15.274929891996,11.881188118811881
B5,B,HG-vHV,30,bacteria2,20.60106450580573,47.524752475247524
B5,B,HG-vHV,36,bacteria,13.830436744479282,43.22200392927317
B5,B,HG-vHV,36,bacteria2,22.136495980458058,72.69155206286851
B5,B,HG-vHV,42,bacteria,13.346547517187712,57.943925233644755
B5,B,HG-vHV,42,bacteria2,20.87344005584466,54.205607476635414
B5,B,HG-vHV,48,bacteria,13.609016328215805,79.09604519773981
B5,B,HG-vHV,48,bacteria2,19.97146023188923,107.34463276836118
B6,B,HV,0,bacteria,11.939793213024855,289.3700787401592
B6,B,HV,0,bacteria2,23.741482158324995,442.9133858267743
B6,B,HV,6,bacteria,12.745155082630284,168.31683168316832
B6,B,HV,6,bacteria2,24.209434733790097,641.5841584158416
B6,B,HV,12,bacteria,13.371101115808251,161.29032258064578
B6,B,HV,12,bacteria2,23.863125140536905,1036.0531309297953
B6,B,HV,18,bacteria,12.760477198144732,507.7821011673142
B6,B,HV,18,bacteria2,22.2901682340465,1406.6147859922153
B6,B,HV,24,bacteria,14.315519925631152,324.63295269167975
B6,B,HV,24,bacteria2,24.46315282438378,1978.7928221859675
B6,B,HV,30,bacteria,14.5815884283567,236.7906066536208
B6,B,HV,30,bacteria2,25.74640504459251,3281.8003913894386
B6,B,HV,36,bacteria,13.38512709757312,1206.8311195445874
B6,B,HV,36,bacteria2,23.572832763625197,6161.290322580621
B6,B,HV,42,bacteria,13.160009033562407,3190.909090909079
B6,B,HV,42,bacteria2,21.243776732667484,7350.909090909065
B6,B,HV,48,bacteria,13.533514970203552,5398.865784499035
B6,B,HV,48,bacteria2,20.916875654349855,6474.4801512287095
B7,B,HG-vHV,0,bacteria,11.948245694917576,347.64542936288086
B7,B,HG-vHV,0,bacteria2,22.085396202666217,407.202216066482
B7,B,HG-vHV,6,bacteria,14.27469968195955,95.29860228716645
B7,B,HG-vHV,6,bacteria2,22.87248831971635,203.30368487928843
B7,B,HG-vHV,12,bacteria,12.88062336667216,31.20936280884257
B7,B,HG-vHV,12,bacteria2,23.051336817364554,61.11833550065003
B7,B,HG-vHV,18,bacteria,13.739035338768732,34.44180522565316
B7,B,HG-vHV,18,bacteria2,22.6144224908881,46.31828978622322
B7,B,HG-vHV,24,bacteria,14.566197393431153,33.54134165366615
B7,B,HG-vHV,24,bacteria2,21.725434855851955,43.6817472698908
B7,B,HG-vHV,30,bacteria,14.305434567992425,41.948579161028356
B7,B,HG-vHV,30,bacteria2,21.8840167521592,64.95263870094713
B7,B,HG-vHV,36,bacteria,14.418772163222894,55.85106382978709
B7,B,HG-vHV,36,bacteria2,21.21372990155483,81.11702127659552
B7,B,HG-vHV,42,bacteria,13.430379912029776,120.54120541205457
