series,experiment,treatment,time,pop,Qc,abundance
B7,B,HG-vHV,42,bacteria2,21.47626960568659,97.17097170971746
B7,B,HG-vHV,48,bacteria,13.439220850152873,97.3036342321217
B7,B,HG-vHV,48,bacteria2,20.744313451705494,105.50996483001148
C1,C,Control,0,bacteria,11.425077245085223,556.2913907284768
C1,C,Control,0,bacteria2,21.76866292954739,688.7417218543046
C1,C,Control,6,bacteria,11.418892235465567,821.2634822804289
C1,C,Control,6,bacteria2,21.755993919033454,1072.419106317408
C1,C,Control,12,bacteria,12.5389808360752,749.1694352159468
C1,C,Control,12,bacteria2,21.77449034992086,901.9933554817276
C1,C,Control,18,bacteria,11.939101645215894,867.2
C1,C,Control,18,bacteria2,21.44902484191852,873.6
C1,C,Control,24,bacteria,11.125117122947243,947.454844006565
C1,C,Control,24,bacteria2,21.74423182693235,1206.896551724134
C1,C,Control,30,bacteria,11.146814013409605,877.0491803278703
C1,C,Control,30,bacteria2,22.35166377903338,1100.0000000000018
C1,C,Control,36,bacteria,11.543083418142434,1015.6985871271601
C1,C,Control,36,bacteria2,22.07625577510385,1317.1114599686048
C1,C,Control,42,bacteria,11.554803757680814,1311.7088607594999
C1,C,Control,42,bacteria2,20.946412783578715,1454.11392405064
C1,C,Control,48,bacteria,11.257161356127867,1400.3164556962004
C1,C,Control,48,bacteria2,22.04233595305754,1693.0379746835415
C2,C,LG-HV,0,bacteria,11.494027097959433,586.0139860139868
C2,C,LG-HV,0,bacteria2,21.868213484164066,606.9930069930078
C2,C,LG-HV,6,bacteria,12.539209358392771,483.483483483485
C2,C,LG-HV,6,bacteria2,22.91711593674155,734.2342342342365
C2,C,LG-HV,12,bacteria,14.167800750757833,279.53890489913584
C2,C,LG-HV,12,bacteria2,24.14335097972963,1511.5273775216158
C2,C,LG-HV,18,bacteria,13.161388321016952,385.4660347551349
C2,C,LG-HV,18,bacteria2,22.717263025623865,1736.1769352290708
C2,C,LG-HV,24,bacteria,14.472210996576774,188.9763779527562
C2,C,LG-HV,24,bacteria2,23.573365073081362,615.748031496064
C2,C,LG-HV,30,bacteria,14.337347235297853,19.801980198019802
C2,C,LG-HV,30,bacteria2,24.952626498281905,117.39745403111739
C2,C,LG-HV,36,bacteria,12.77629793845476,32.4449594438007
C2,C,LG-HV,36,bacteria2,23.942459606210846,146.00231749710312
C2,C,LG-HV,42,bacteria,12.706389519315358,46.6562986003109
C2,C,LG-HV,42,bacteria2,22.15077582873223,93.3125972006218
C2,C,LG-HV,48,bacteria,12.609088833304192,52.95950155763239
C2,C,LG-HV,48,bacteria2,22.23930679932201,141.74454828660436
C3,C,LV,0,bacteria,11.556861464015102,605.9190031152648
C3,C,LV,0,bacteria2,22.359382094387133,679.1277258566978
C3,C,LV,6,bacteria,12.524793110240642,488.29953198128084
C3,C,LV,6,bacteria2,21.908534807429493,936.0374414976629
C3,C,LV,12,bacteria,13.243472221459886,630.2765647743795
C3,C,LV,12,bacteria2,22.044839066945176,1082.9694323144072
C3,C,LV,18,bacteria,12.243010067966477,850.3703703703666
C3,C,LV,18,bacteria2,21.084390324701843,1111.1111111111063
C3,C,LV,24,bacteria,11.338456449571403,1132.4200913241991
C3,C,LV,24,bacteria2,21.53998721329332,1298.3257229832552
C3,C,LV,30,bacteria,11.299851193415124,998.4447900466595
C3,C,LV,30,bacteria2,23.13472393598502,1275.2721617418392
C3,C,LV,36,bacteria,13.795616131642296,809.6828046744602
C3,C,LV,36,bacteria2,22.632481689917554,2295.4924874791395
C3,C,LV,42,bacteria,13.444927309889707,1480.37889039242
C3,C,LV,42,bacteria2,21.729142451398094,4300.405953991874
C3,C,LV,48,bacteria,14.21445965787103,2100.840336134443
C3,C,LV,48,bacteria2,20.92918965501146,6322.68907563022
C4,C,LG-HV,0,bacteria,11.810316295151482,442.54658385093165
C4,C,LG-HV,0,bacteria2,22.324351332984527,402.17391304347825
C4,C,LG-HV,6,bacteria,13.155932284083738,425.03863987635367
C4,C,LG-HV,6,bacteria2,23.308107270330307,902.6275115919657
C4,C,LG-HV,12,bacteria,13.933251659181593,483.8212634822789
C4,C,LG-HV,12,bacteria2,23.06599838373812,1417.565485362091
C4,C,LG-HV,18,bacteria,13.521929305210593,349.7688751926029
C4,C,LG-HV,18,bacteria2,21.887155308962356,1775.0385208012272
C4,C,LG-HV,24,bacteria,14.033771209390283,178.625954198473
C4,C,LG-HV,24,bacteria2,23.342443493030586,769.4656488549607
C4,C,LG-HV,30,bacteria,13.97669770584444,30.581039755351725
C4,C,LG-HV,30,bacteria2,25.231528059113195,129.96941896024484
C4,C,LG-HV,36,bacteria,13.672572097528482,41.907514450866806
C4,C,LG-HV,36,bacteria2,25.050136395079413,130.05780346820734
C4,C,LG-HV,42,bacteria,13.41140554329284,60.478199718706136
C4,C,LG-HV,42,bacteria2,23.790484820466617,101.26582278481028
C4,C,LG-HV,48,bacteria,13.860959079864363,40.909090909091034
C4,C,LG-HV,48,bacteria2,23.44749434728844,169.6969696969702
C5,C,HG-vHV,0,bacteria,11.694290051240438,662.6323751891065
C5,C,HG-vHV,0,bacteria2,21.8362292971261,704.9924357034786
C5,C,HG-vHV,6,bacteria,13.914663374999217,284.4574780058647
C5,C,HG-vHV,6,bacteria2,23.898484478642406,376.8328445747795
C5,C,HG-vHV,12,bacteria,13.06790590297144,466.16541353383457
C5,C,HG-vHV,12,bacteria2,22.773764818210655,1675.187969924812
C5,C,HG-vHV,18,bacteria,13.225044429800652,1059.0015128593027
C5,C,HG-vHV,18,bacteria2,21.607237943090052,2128.593040847198
C5,C,HG-vHV,24,bacteria,12.537118901959364,22.65861027190339
C5,C,HG-vHV,24,bacteria2,26.892474733239577,172.20543806646577
C5,C,HG-vHV,30,bacteria,14.701381729977573,34.53237410071937
C5,C,HG-vHV,30,bacteria2,24.348337267661947,202.87769784172633
C5,C,HG-vHV,36,bacteria,14.039745327124043,46.33781763826607
C5,C,HG-vHV,36,bacteria2,24.855990757603127,212.25710014947683
C5,C,HG-vHV,42,bacteria,13.649834545882458,72.85714285714255
C5,C,HG-vHV,42,bacteria2,25.210265191334823,149.99999999999937
C5,C,HG-vHV,48,bacteria,13.397921303303425,83.70702541106128
C5,C,HG-vHV,48,bacteria2,23.95541616368008,155.4559043348281
C6,C,HV,0,bacteria,11.692456111173051,687.2770511296051
C6,C,HV,0,bacteria2,22.20624169964084,778.8347205707463
C6,C,HV,6,bacteria,12.815626591311524,575.0371471025269
C6,C,HV,6,bacteria2,22.935572133772286,927.1916790490355
C6,C,HV,12,bacteria,13.183934343242452,467.62589928057486
C6,C,HV,12,bacteria2,22.578621923526104,1656.1151079136666
C6,C,HV,18,bacteria,13.371641173884363,1124.6290801186994
C6,C,HV,18,bacteria2,21.804428987689185,2295.2522255192985
C6,C,HV,24,bacteria,14.184046368724614,773.1543624161073
C6,C,HV,24,bacteria2,22.904245583017737,3880.536912751678
C6,C,HV,30,bacteria,13.966909006481542,2046.5465465465406
C6,C,HV,30,bacteria2,20.58630399305256,4466.966966966954
C6,C,HV,36,bacteria,12.701322892206175,4506.00600600602
C6,C,HV,36,bacteria2,20.16827023863941,3381.3813813813917
C6,C,HV,42,bacteria,11.8184268035135,6001.358695652182
C6,C,HV,42,bacteria2,19.966478822590425,3108.6956521739176
C6,C,HV,48,bacteria,11.56628608960904,5603.293413173669
C6,C,HV,48,bacteria2,20.111336528931226,2899.700598802404
C7,C,HG-vHV,0,bacteria,11.67054703305458,665.4991243432551
C7,C,HG-vHV,0,bacteria2,21.54335127866461,746.0595446584913
C7,C,HG-vHV,6,bacteria,14.026631782518644,295.25483304042075
C7,C,HG-vHV,6,bacteria2,24.27831156315453,441.12478031634294
C7,C,HG-vHV,12,bacteria,12.418407988612874,50.962627406568636
C7,C,HG-vHV,12,bacteria2,23.853343861024097,101.92525481313727
C7,C,HG-vHV,18,bacteria,14.587327457210913,23.578363384188695
C7,C,HG-vHV,18,bacteria2,24.6971649303951,67.96116504854388
C7,C,HG-vHV,24,bacteria,12.04354357008204,64.84149855907789
C7,C,HG-vHV,24,bacteria2,27.48798507485068,193.08357348703197
C7,C,HG-vHV,30,bacteria,13.188882322671157,79.90599294947103
C7,C,HG-vHV,30,bacteria2,24.518230844759557,223.26674500587492
C7,C,HG-vHV,36,bacteria,12.66069359909736,75.60627674750347
C7,C,HG-vHV,36,bacteria2,24.974444175085903,258.20256776034205
C7,C,HG-vHV,42,bacteria,12.038512386776683,233.06544202066593
C7,C,HG-vHV,42,bacteria2,24.106580176352626,272.1010332950632
C7,C,HG-vHV,48,bacteria,11.827904584787227,117.31044349070082
C7,C,HG-vHV,48,bacteria2,25.2046344764316,150.2145922746779
E1,E,Control,0,bacteria,11.483823822048917,499.0512333965864
E1,E,Control,0,bacteria2,22.23422517649342,633.7760910815964
E1,E,Control,6,bacteria,12.61898014803994,470.4797047970454
E1,E,Control,6,bacteria2,22.729123116032955,896.6789667896629
E1,E,Control,12,bacteria,12.3159098546709,629.570747217806
E1,E,Control,12,bacteria2,22.216402049447698,898.2511923688395
E1,E,Control,18,bacteria,11.651069286318036,724.8576850094848
E1,E,Control,18,bacteria2,21.972698193315214,954.4592030360495
E1,E,Control,24,bacteria,11.123322450297993,750.9363295880164
E1,E,Control,24,bacteria2,21.818124973607652,898.8764044943837
E1,E,Control,30,bacteria,11.154933477471683,1097.4658869395646
E1,E,Control,30,bacteria2,21.972219518264392,1087.7192982456077
E1,E,Control,36,bacteria,11.958902325048218,1242.9378531073517
E1,E,Control,36,bacteria2,22.671953580470753,1561.2052730696885
E1,E,Control,42,bacteria,11.805499076583445,998.0694980694963
E1,E,Control,42,bacteria2,22.476236570169988,1397.683397683395
E1,E,Control,48,bacteria,11.306589648932286,1429.0718038528971
E1,E,Control,48,bacteria2,22.334894846239894,1509.632224168134
E2,E,LG,0,bacteria,11.654488695747018,465.2509652509644
E2,E,LG,0,bacteria2,23.721475338535676,627.4131274131263
E2,E,LG,6,bacteria,13.011653343007472,562.1414913957957
E2,E,LG,6,bacteria2,25.364828030555135,766.7304015296397
E2,E,LG,12,bacteria,13.182545049759916,709.9358974358997
E2,E,LG,12,bacteria2,24.026837649945566,900.6410256410285
E2,E,LG,18,bacteria,12.74350474103285,668.5393258426978
E2,E,LG,18,bacteria2,23.652587078082078,679.7752808988777
E2,E,LG,24,bacteria,12.047859934751695,807.8994614003605
E2,E,LG,24,bacteria2,22.974744306097467,680.430879712748
E2,E,LG,30,bacteria,13.240317115365682,586.7158671586737
E2,E,LG,30,bacteria2,24.084412088789822,389.29889298893136
E2,E,LG,36,bacteria,14.926946523542858,86.0215053763447
E2,E,LG,36,bacteria2,19.798742507715474,216.8458781362023
E2,E,LG,42,bacteria,14.114251949613921,17.421602787456354
E2,E,LG,42,bacteria2,24.21633432343028,24.390243902438897
E2,E,LG,48,bacteria,11.613137214357153,25.55366269165247
E2,E,LG,48,bacteria2,24.24641289645715,32.3679727427598
E3,E,LG,0,bacteria,11.92634572244812,521.8181818181799
E3,E,LG,0,bacteria2,23.91865268801946,650.9090909090886
E3,E,LG,6,bacteria,12.486698776627138,542.0393559928463
E3,E,LG,6,bacteria2,23.200289815685817,735.2415026833658
E3,E,LG,12,bacteria,12.793899727451285,759.4254937163334
E3,E,LG,12,bacteria2,22.620959619863587,942.5493716337471
E3,E,LG,18,bacteria,12.352361156627667,653.239929947464
E3,E,LG,18,bacteria2,22.18430691482207,777.583187390547
E3,E,LG,24,bacteria,12.29065887588226,724.0398293029872
E3,E,LG,24,bacteria2,22.334439720989444,586.0597439544808
E3,E,LG,30,bacteria,13.3170275247017,549.5798319327704
E3,E,LG,30,bacteria2,23.962230141847435,300.8403361344523
E3,E,LG,36,bacteria,14.039385442696217,64.45993031358897
E3,E,LG,36,bacteria2,19.93035598975672,144.59930313588876
E3,E,LG,42,bacteria,10.597987276873916,38.528896672504246
E3,E,LG,42,bacteria2,23.59833288728101,49.03677758318722
E3,E,LG,48,bacteria,12.430426780073379,15.873015873015817
E3,E,LG,48,bacteria2,22.874813992390845,29.982363315696542
E4,E,LG,0,bacteria,12.005351842962343,596.9101123595531
E4,E,LG,0,bacteria2,23.510195310506646,676.9662921348342
E4,E,LG,6,bacteria,12.703359137835212,583.5777126099698
E4,E,LG,6,bacteria2,23.222755680319594,706.7448680351896
E4,E,LG,12,bacteria,12.84459694610509,749.6087636932731
E4,E,LG,12,bacteria2,22.278199353073028,801.2519561815361
E4,E,LG,18,bacteria,12.319548078980421,680.7580174927115
E4,E,LG,18,bacteria2,21.495627117167114,674.927113702624
E4,E,LG,24,bacteria,12.082061912591218,789.5569620253152
E4,E,LG,24,bacteria2,22.714761047819614,685.1265822784799
E4,E,LG,30,bacteria,13.236139086470528,747.4150664697204
E4,E,LG,30,bacteria2,23.15937392425147,447.5627769571646
E4,E,LG,36,bacteria,14.908390457175477,217.72939346811887
E4,E,LG,36,bacteria2,20.024858674931224,363.9191290824273
E4,E,LG,42,bacteria,13.013106732676631,36.75344563552828
E4,E,LG,42,bacteria2,23.756336987824675,58.19295558958644
E4,E,LG,48,bacteria,12.973121617490596,15.988372093023257
E4,E,LG,48,bacteria2,25.865035305317765,42.151162790697676
E5,E,HG,0,bacteria,12.571415305307644,750.380517503804
E5,E,HG,0,bacteria2,22.690134127289316,1003.0441400304398
E5,E,HG,6,bacteria,13.482793238928636,829.6874999999987
E5,E,HG,6,bacteria2,23.887182112522183,740.6249999999989
E5,E,HG,12,bacteria,13.635439471954513,833.576642335764
E5,E,HG,12,bacteria2,22.976745593915044,607.2992700729909
E5,E,HG,18,bacteria,12.653578419550083,131.2499999999998
E5,E,HG,18,bacteria2,22.443903917882036,157.81249999999974
E5,E,HG,24,bacteria,13.16072865534167,42.19409282700428
E5,E,HG,24,bacteria2,24.47195496675671,92.82700421940942
E5,E,HG,30,bacteria,12.75917352458886,30.72196620583708
E5,E,HG,30,bacteria2,22.184619923363734,59.90783410138231
E5,E,HG,36,bacteria,13.481202133897746,52.023121387282934
E5,E,HG,36,bacteria2,21.115546376655864,70.80924855491288
E5,E,HG,42,bacteria,12.552093941365607,47.619047619047556
E5,E,HG,42,bacteria2,20.87542780702514,14.157014157014139
E5,E,HG,48,bacteria,12.219306814694246,79.87711213517642
E5,E,HG,48,bacteria2,24.264458467742973,21.505376344085956
E6,E,HG,0,bacteria,12.322236848850288,826.8933539412699
E6,E,HG,0,bacteria2,22.538772401683623,1058.7326120556447
E6,E,HG,6,bacteria,13.440646933382551,922.7202472952058
E6,E,HG,6,bacteria2,24.47747942136607,760.4327666151445
E6,E,HG,12,bacteria,13.207521840702997,836.1408882082683
E6,E,HG,12,bacteria2,22.38913355776187,581.9295558958644
E6,E,HG,18,bacteria,12.422165751345563,222.7272727272734
E6,E,HG,18,bacteria2,21.49337344384483,162.1212121212126
E6,E,HG,24,bacteria,12.133601183120852,56.748466257668795
E6,E,HG,24,bacteria2,22.844845745763706,81.28834355828234
E6,E,HG,30,bacteria,11.159521045648647,35.060975609756156
E6,E,HG,30,bacteria2,24.95108087657892,41.15853658536592
E6,E,HG,36,bacteria,11.745190499160012,90.22556390977444
E6,E,HG,36,bacteria2,23.652656364332508,72.18045112781955
E6,E,HG,42,bacteria,11.706013925167413,110.5990783410135
E6,E,HG,42,bacteria2,20.97258354936595,41.474654377880064
E6,E,HG,48,bacteria,11.415190740627304,81.16385911179161
E6,E,HG,48,bacteria2,20.860708991148947,49.004594180704366
E7,E,HG,0,bacteria,12.35244513080331,779.8449612403077
E7,E,HG,0,bacteria2,22.76070488574728,1021.705426356586
E7,E,HG,6,bacteria,13.575583093449403,1039.3325387365924
E7,E,HG,6,bacteria2,24.134278317566114,821.2157330154955
E7,E,HG,12,bacteria,13.102141221800206,862.06896551724
E7,E,HG,12,bacteria2,23.313301355521045,534.4827586206889
E7,E,HG,18,bacteria,11.770477241391966,232.33908948194554
E7,E,HG,18,bacteria2,21.469629406888806,202.5117739403444
E7,E,HG,24,bacteria,11.837690967838949,76.92307692307703
E7,E,HG,24,bacteria2,23.076562456267478,135.0078492935638
E7,E,HG,30,bacteria,12.319127383819652,42.5531914893617
E7,E,HG,30,bacteria2,21.92931861100288,49.645390070921984
E7,E,HG,36,bacteria,11.817219722967403,70.69219440353429
E7,E,HG,36,bacteria2,22.36397575347502,54.49189985272435
E7,E,HG,42,bacteria,12.212173116021415,101.89573459715639
E7,E,HG,42,bacteria2,23.154281441987393,42.654028436018955
E7,E,HG,48,bacteria,11.454752959340913,109.19540229885074
E7,E,HG,48,bacteria2,23.068721613035727,54.59770114942537
