Time,A_1,B_1,C_1,A_3,B_3,C_3,A_4,B_4,C_4,A_6,B_6,C_6,E_2,E_3,E_4
0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.71E+02,3.64E+02,8.68E+02,0.00E+00,0.00E+00,0.00E+00,6.12E+02,7.33E+02,5.25E+02
2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.43E+02,5.62E+02,1.00E+03,0.00E+00,0.00E+00,0.00E+00,6.50E+02,7.23E+02,6.82E+02
4,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.30E+02,6.20E+02,1.23E+03,0.00E+00,0.00E+00,0.00E+00,7.71E+02,9.34E+02,7.77E+02
6,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.88E+02,7.79E+02,1.95E+03,0.00E+00,0.00E+00,0.00E+00,1.05E+03,9.43E+02,7.78E+02
8,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.57E+03,8.23E+02,1.88E+03,0.00E+00,0.00E+00,0.00E+00,1.86E+03,1.46E+03,1.18E+03
10,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.96E+03,9.14E+02,2.56E+03,0.00E+00,0.00E+00,0.00E+00,1.86E+03,1.60E+03,1.41E+03
12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.31E+03,1.16E+03,3.86E+03,0.00E+00,0.00E+00,0.00E+00,2.17E+03,2.04E+03,2.12E+03
14,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.57E+03,1.84E+03,3.98E+03,0.00E+00,0.00E+00,0.00E+00,2.20E+03,2.90E+03,2.02E+03
16,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.50E+03,1.81E+03,5.80E+03,0.00E+00,0.00E+00,0.00E+00,3.23E+03,3.68E+03,2.86E+03
18,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.10E+03,2.19E+03,7.83E+03,0.00E+00,0.00E+00,0.00E+00,4.03E+03,5.66E+03,3.63E+03
20,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.27E+03,2.28E+03,1.46E+04,0.00E+00,0.00E+00,0.00E+00,6.13E+03,6.63E+03,3.93E+03
22,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.36E+03,2.62E+03,1.41E+04,0.00E+00,0.00E+00,0.00E+00,9.47E+03,1.22E+04,7.16E+03
24,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.01E+04,3.20E+03,1.61E+04,0.00E+00,0.00E+00,0.00E+00,1.06E+04,1.48E+04,1.08E+04
26,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.39E+04,3.05E+03,2.25E+04,0.00E+00,0.00E+00,0.00E+00,1.08E+04,1.44E+04,9.68E+03
28,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.98E+04,4.67E+03,2.72E+04,0.00E+00,0.00E+00,0.00E+00,1.24E+04,1.92E+04,1.39E+04
30,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.30E+04,4.65E+03,3.91E+04,0.00E+00,0.00E+00,0.00E+00,1.48E+04,1.88E+04,1.37E+04
32,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.05E+04,5.21E+03,5.57E+04,0.00E+00,0.00E+00,0.00E+00,2.12E+04,2.55E+04,1.88E+04
34,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.12E+04,6.91E+03,6.00E+04,0.00E+00,0.00E+00,0.00E+00,2.31E+04,2.48E+04,2.25E+04
36,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.70E+04,1.09E+04,6.69E+04,0.00E+00,0.00E+00,0.00E+00,3.18E+04,3.49E+04,2.37E+04
38,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.63E+04,1.30E+04,6.58E+04,0.00E+00,0.00E+00,0.00E+00,4.23E+04,4.00E+04,2.65E+04
40,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.65E+04,2.47E+04,7.37E+04,0.00E+00,0.00E+00,0.00E+00,4.67E+04,5.19E+04,3.60E+04
42,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.39E+04,2.65E+04,6.98E+04,0.00E+00,0.00E+00,0.00E+00,5.11E+04,6.02E+04,4.24E+04
44,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.29E+04,3.03E+04,6.82E+04,0.00E+00,0.00E+00,0.00E+00,5.37E+04,5.67E+04,4.62E+04
46,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.78E+04,4.21E+04,5.84E+04,0.00E+00,0.00E+00,0.00E+00,5.65E+04,6.14E+04,4.97E+04
48,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.09E+04,3.70E+04,5.54E+04,0.00E+00,0.00E+00,0.00E+00,7.16E+04,6.90E+04,5.54E+04