Bracket Type=4,,
File Name,InjVol,InjVol.norm
200929_Blk_Blk_1,2,2
200929_Blk_Blk_2,2,2
200929_Blk_Blk_3,2,2
200929_Std_H2OinMatrix_1,2,2
200929_Std_4uMStdsMix1InH2O_1,2,2
200929_Std_4uMStdsMix2InH2O_1,2,2
200929_Std_4uMStdsMix1InMatrix_1,2,2
200929_Std_4uMStdsMix2InMatrix_1,2,2
200929_Blk_Blk_4,2,2
200929_Blk_Blk_5,2,2
200929_Poo_TruePooMortality_Half1,2,1
200929_Poo_TruePooMortality_Full1,2,2
200929_Smp_E_3LG_T48,2,2
200929_Blk_Blk_6,2,2
200929_Smp_C_1C_T12,2,2
200929_Smp_C_1C_T30,2,2
200929_Smp_C_3LV_T24,2,2
200929_Blk_Blk_7,2,2
200929_Smp_B_3LV_T48,2,2
200929_Smp_A_3LV_T24,2,2
200929_Smp_C_4LGV_T12,2,2
200929_Blk_Blk_7a,2,2
200929_Smp_A_6HV_T36,2,2
200929_Smp_B_6HV_T48,2,2
200929_Smp_B_4LGV_T36,2,2
200929_Blk_Blk_8,2,2
200929_Smp_C_1C_T48,2,2
200929_Smp_C_3LV_T12,2,2
200929_Smp_A_6HV_T0,2,2
200929_Blk_Blk_9,2,2
200929_Smp_C_1C_T0,2,2
200929_Smp_A_4LGV_T48,2,2
200929_Smp_B_1C_T24,2,2
200929_Blk_Blk_10,2,2
200929_Smp_C_1C_T18,2,2
200929_Blk_Media_blk,2,2
200929_Smp_C_1C_T24,2,2
200929_Blk_Blk_11,2,2
200929_Smp_E_3LG_T0,2,2
200929_Smp_C_6HV_T24,2,2
200929_Blk_Blk_12,2,2
200929_Smp_B_1C_T30,2,2
200929_Smp_A_4LGV_T12,2,2
200929_Smp_E_8G_T48,2,2
200929_Blk_Blk_13,2,2
200929_Smp_C_6HV_T36,2,2
200929_Smp_A_1C_T24,2,2
200929_Smp_C_4LGV_T36,2,2
200929_Blk_Blk_14,2,2
200929_Smp_A_3LV_T12,2,2
200929_Smp_B_4LGV_T48,2,2
200929_Smp_B_3LV_T12,2,2
200929_Blk_Blk_15,2,2
200929_Smp_B_4LGV_T12,2,2
200929_Smp_C_6HV_T12,2,2
200929_Smp_C_3LV_T48,2,2
200929_Blk_Blk_16,2,2
200929_Smp_B_1C_T48,2,2
200929_Smp_A_1C_T42,2,2
200929_Smp_A_1C_T30,2,2
200929_Blk_Blk_17,2,2
200929_Smp_C_3LV_T36,2,2
200929_Smp_B_1C_T42,2,2
200929_Smp_A_8G_T48,2,2
200929_Blk_Blk_18,2,2
200929_Smp_A_1C_T36,2,2
200929_Smp_B_4LGV_T0,2,2
200929_Smp_E_4LG_T0,2,2
200929_Blk_Blk_19,2,2
200929_Smp_E_4LG_T24,2,2
200929_Smp_E_2LG_T36,2,2
200929_Blk_DOM_blk_T0,2,2
200929_Blk_Blk_20,2,2
200929_Blk_Filter_blk_1,2,2
200929_Smp_A_1C_T18,2,2
200929_Smp_C_1C_T6,2,2
200929_Blk_Blk_21,2,2
200929_Smp_E_4LG_T36,2,2
200929_Smp_B_6HV_T0,2,2
200929_Blk_Blk_22,2,2
200929_Smp_B_6HV_T36,2,2
200929_Smp_A_6HV_T24,2,2
200929_Smp_B_1C_T18,2,2
200929_Blk_Blk_23,2,2
200929_Poo_TruePooMortality_Half2,2,1
200929_Poo_TruePooMortality_Full2,2,2
200929_Smp_E_2LG_T24,2,2
200929_Blk_Blk_24,2,2
200929_Smp_C_1C_T36,2,2
200929_Smp_B_6HV_T24,2,2
200929_Blk_Filter_blk_2,2,2
200929_Blk_Blk_25,2,2
200929_Smp_E_3LG_T36,2,2
200929_Smp_C_6HV_T48,2,2
200929_Smp_B_1C_T36,2,2
200929_Blk_Blk_26,2,2
200929_Smp_C_3LV_T0,2,2
200929_Smp_B_6HV_T12,2,2
200929_Smp_E_3LG_T24,2,2
200929_Blk_Blk_27,2,2
200929_Smp_A_6HV_T12,2,2
200929_Smp_A_4LGV_T0,2,2
200929_Smp_B_3LV_T36,2,2
200929_Blk_Blk_28,2,2
200929_Smp_A_4LGV_T36,2,2
200929_Smp_B_1C_T12,2,2
200929_Smp_A_3LV_T36,2,2
200929_Blk_Blk_29,2,2
200929_Smp_B_1C_T6,2,2
200929_Smp_B_3LV_T24,2,2
200929_Smp_A_1C_T6,2,2
200929_Blk_Blk_30,2,2
200929_Smp_C_4LGV_T48,2,2
200929_Poo_TruePooMortality_Full3,2,2
200929_Poo_TruePooMortality_Half3,2,1
200929_Blk_Blk_31,2,2
200929_Smp_A_8G_T0,2,2
200929_Smp_C_4LGV_T0,2,2
200929_Smp_E_4LG_T48,2,2
200929_Blk_Blk_32,2,2
200929_Smp_A_3LV_T48,2,2
200929_Smp_C_1C_T42,2,2
200929_Smp_E_2LG_T0,2,2
200929_Blk_Blk_33,2,2
200929_Smp_A_1C_T48,2,2
200929_Smp_A_1C_T12,2,2
200929_Blk_Blk_34,2,2
200929_Smp_C_4LGV_T24,2,2
200929_Smp_E_2LG_T48,2,2
200929_Smp_A_1C_T0,2,2
200929_Blk_Blk_35,2,2
200929_Smp_A_6HV_T48,2,2
200929_Smp_B_4LGV_T24,2,2
200929_Blk_DOM_blk_T48,2,2
200929_Blk_Blk_36,2,2
200929_Smp_A_9V_T0,2,2
200929_Smp_C_6HV_T0,2,2
200929_Smp_B_1C_T0,2,2
200929_Blk_Blk_37,2,2
200929_Smp_A_4LGV_T24,2,2
200929_Smp_A_3LV_T0,2,2
200929_Smp_B_3LV_T0,2,2
200929_Blk_Blk_38,2,2
200929_Poo_TruePooMortality_Full4,2,2
200929_Poo_TruePooMortality_Half4,2,1
200929_Blk_Blk_39,2,2
200929_Poo_TruePooMortality_DDApos20,2,2
200929_Poo_TruePooMortality_DDAneg20,2,2
200929_Poo_TruePooMortality_DDApos35,2,2
200929_Blk_Blk_40,2,2
200929_Poo_TruePooMortality_DDAneg35,2,2
200929_Poo_TruePooMortality_DDApos50,2,2
200929_Poo_TruePooMortality_DDAneg50,2,2
200929_Blk_Blk_41,2,2
200929_Std_H2OinMatrix_2,2,2
200929_Std_4uMStdsMix1InH2O_2,2,2
200929_Std_4uMStdsMix2InH2O_2,2,2
200929_Std_4uMStdsMix1InMatrix_2,2,2
200929_Std_4uMStdsMix2InMatrix_2,2,2
200929_Blk_Blk_42,2,2
200929_Blk_Blk_43,2,2